epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_aux,train/loss_ce,train/loss_ce_aux,train/loss_giou,train/loss_giou_aux,train/lr,train/lr_max,train/lr_min,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAP_75,val/ema_mAR,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
0,99,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
0,149,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
0,199,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
0,249,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
0,299,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
0,307,,,,,,,,,,,,,,,,0.9514904022216797,0.9756003618240356,0.6575006246566772,0.7925872802734375,0.7480892539024353,0.9756003618240356,0.6575006246566772,0.7925872802734375,0.7480892539024353,0.9482414722442627,0.9547637104988098
0,307,36.06452941894531,34.261566162109375,35.86749267578125,33.78348159790039,4.921497344970703,4.614160537719727,0.02953427843749523,0.09147392958402634,0.5880562663078308,1.8465315103530884,0.19299642741680145,0.5942701697349548,,,,,,,,,,,,,,
1,349,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
1,399,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
1,449,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
1,499,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
1,549,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
1,599,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
1,615,,,,,,,,,,,,,,,,0.9541817903518677,0.9783185124397278,0.6691303253173828,0.8013479113578796,0.7499665021896362,0.9783185124397278,0.6691303253173828,0.8013479113578796,0.7499665021896362,0.9506775736808777,0.9579073190689087
1,615,40.24269485473633,38.91659927368164,40.203125,39.41172790527344,0.5335481762886047,4.049246788024902,0.02548046037554741,0.08070317655801773,0.49909672141075134,1.5623538494110107,0.17733316123485565,0.5511058568954468,,,,,,,,,,,,,,
2,649,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
2,699,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
2,749,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
2,799,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
2,849,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
2,899,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
2,923,,,,,,,,,,,,,,,,0.9553887248039246,0.9785848259925842,0.6745577454566956,0.8106223940849304,0.7514570355415344,0.9785848259925842,0.6745577454566956,0.8106223940849304,0.7514570355415344,0.9527941346168518,0.958094596862793
2,923,40.1767463684082,39.31513977050781,40.14813232421875,39.76359558105469,0.6011202335357666,3.946660041809082,0.024776002392172813,0.07766669243574142,0.4898870885372162,1.5193016529083252,0.17444562911987305,0.5381814241409302,,,,,,,,,,,,,,
3,949,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
3,999,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
3,1049,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
3,1099,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
3,1149,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
3,1199,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
3,1231,,,,,,,,,,,,,,,,0.9554803371429443,0.9799001812934875,0.6763509511947632,0.8123915791511536,0.7521530389785767,0.9799001812934875,0.6763509511947632,0.8123915791511536,0.7521530389785767,0.9558675289154053,0.9551854729652405
3,1231,40.212257385253906,39.46895217895508,40.249595642089844,39.88007354736328,0.4448148012161255,3.87619686126709,0.02434726059436798,0.07644365727901459,0.4807913601398468,1.4943104982376099,0.1707746386528015,0.5277940630912781,,,,,,,,,,,,,,
4,1249,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
4,1299,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
4,1349,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
4,1399,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
4,1449,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
4,1499,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
4,1539,,,,,,,,,,,,,,,,0.9542545080184937,0.9800606966018677,0.6774263381958008,0.813713550567627,0.7536734938621521,0.9800606966018677,0.6774263381958008,0.813713550567627,0.7536734938621521,0.9422045946121216,0.9667724370956421
4,1539,40.33563232421875,39.461849212646484,40.225040435791016,39.87743377685547,0.4871289134025574,3.8734705448150635,0.02390187792479992,0.07511694729328156,0.4804426431655884,1.5024839639663696,0.1706211119890213,0.5271033048629761,,,,,,,,,,,,,,
5,1549,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
5,1599,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
5,1649,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
5,1699,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
5,1749,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
5,1799,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
5,1847,,,,,,,,,,,,,,,,0.9531785845756531,0.9800021648406982,0.6781567931175232,0.8144717812538147,0.7503984570503235,0.9800021648406982,0.6781567931175232,0.8144717812538147,0.7503984570503235,0.9515964388847351,0.9548517465591431
5,1847,40.10491180419922,39.263999938964844,40.029422760009766,39.70758819580078,0.4852828085422516,3.8454740047454834,0.02380554750561714,0.07481110841035843,0.476346492767334,1.486716389656067,0.1698719710111618,0.5247916579246521,,,,,,,,,,,,,,
6,1849,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
6,1899,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
6,1949,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
6,1999,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
6,2049,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
6,2099,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
6,2149,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
6,2155,,,,,,,,,,,,,,,,0.954247772693634,0.979497492313385,0.6789219379425049,0.8131194114685059,0.7518754005432129,0.979497492313385,0.6789219379425049,0.8131194114685059,0.7518754005432129,0.9592999219894409,0.9492989778518677
6,2155,40.50324630737305,39.60166549682617,40.34111022949219,40.20008087158203,0.3854854106903076,3.769239664077759,0.023340979591012,0.07309535890817642,0.4700145423412323,1.4532884359359741,0.16716642677783966,0.5147117376327515,,,,,,,,,,,,,,
7,2199,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
7,2249,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
7,2299,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
7,2349,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
7,2399,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
