epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_aux,train/loss_ce,train/loss_ce_aux,train/loss_giou,train/loss_giou_aux,train/lr,train/lr_max,train/lr_min,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAP_75,val/ema_mAR,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
0,99,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
0,149,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
0,199,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
0,249,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
0,299,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
0,307,,,,,,,,,,,,,,,,0.9587247371673584,0.9809157848358154,0.6662377119064331,0.8001289963722229,0.7613480687141418,0.9809157848358154,0.6662377119064331,0.8001289963722229,0.7613480687141418,0.9555513262748718,0.9619192481040955
0,307,34.98965072631836,31.18222427368164,33.88595962524414,31.07021141052246,6.731922626495361,4.735191345214844,0.0267516877502203,0.08279500901699066,0.6152667999267578,2.011274814605713,0.1915981024503708,0.5888605713844299,,,,,,,,,,,,,,
1,349,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
1,399,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
1,449,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
1,499,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
1,549,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
1,599,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
1,615,,,,,,,,,,,,,,,,0.9632145166397095,0.9817138314247131,0.6740093231201172,0.8100617527961731,0.7616336345672607,0.9817138314247131,0.6740093231201172,0.8100617527961731,0.7616336345672607,0.9543925523757935,0.9722010493278503
1,615,40.62175369262695,39.49553680419922,40.537742614746094,40.15300369262695,0.0004536517371889204,4.032710552215576,0.024328310042619705,0.07622170448303223,0.5013631582260132,1.5540715456008911,0.18056252598762512,0.5567008852958679,,,,,,,,,,,,,,
2,649,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
2,699,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
2,749,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
2,799,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
2,849,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
2,899,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
2,923,,,,,,,,,,,,,,,,0.9648021459579468,0.9821475148200989,0.6768782138824463,0.8153035640716553,0.7621287107467651,0.9821475148200989,0.6768782138824463,0.8153035640716553,0.7621287107467651,0.9640684127807617,0.9655369520187378
2,923,40.41578674316406,39.49026107788086,40.4224853515625,40.28571319580078,0.0064164199866354465,3.958108425140381,0.023997023701667786,0.07449820637702942,0.49372580647468567,1.5218650102615356,0.17836332321166992,0.5466576218605042,,,,,,,,,,,,,,
3,949,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
3,999,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
3,1049,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
3,1099,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
3,1149,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
3,1199,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
3,1231,,,,,,,,,,,,,,,,0.9639889001846313,0.9827945828437805,0.6805233359336853,0.8168523907661438,0.7589299082756042,0.9827945828437805,0.6805233359336853,0.8168523907661438,0.7589299082756042,0.9672225713729858,0.9607768654823303
3,1231,40.210025787353516,39.371551513671875,40.147727966308594,40.06452941894531,-7.183520551734546e-07,3.926365375518799,0.02401064522564411,0.07510588318109512,0.487124502658844,1.5075840950012207,0.17610153555870056,0.5419348478317261,,,,,,,,,,,,,,
4,1249,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
4,1299,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
4,1349,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
4,1399,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
4,1449,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
4,1499,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
4,1539,,,,,,,,,,,,,,,,0.9645026326179504,0.98328697681427,0.6805669665336609,0.8163594007492065,0.7584348917007446,0.98328697681427,0.6805669665336609,0.8163594007492065,0.7584348917007446,0.9615821242332458,0.9674409627914429
4,1539,40.17856979370117,39.50608825683594,40.1136360168457,39.98660659790039,-7.431228254972666e-07,3.8585121631622314,0.022967463359236717,0.071865975856781,0.4819314777851105,1.4943993091583252,0.1727626472711563,0.5312439799308777,,,,,,,,,,,,,,
5,1549,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
5,1599,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
5,1649,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
5,1699,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
5,1749,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
5,1799,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
5,1847,,,,,,,,,,,,,,,,0.9646946787834167,0.9841152429580688,0.6825158596038818,0.8198923468589783,0.7596725225448608,0.9841152429580688,0.6825158596038818,0.8198923468589783,0.7596725225448608,0.9669089317321777,0.9624904990196228
5,1847,40.44987869262695,39.8011360168457,40.36749267578125,40.36749267578125,-4.95415235945984e-07,3.806643486022949,0.0229701716452837,0.07084660977125168,0.4776957631111145,1.4692966938018799,0.17161144316196442,0.5236728191375732,,,,,,,,,,,,,,
6,1849,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
6,1899,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
6,1949,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
6,1999,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
6,2049,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
6,2099,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
6,2149,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
6,2155,,,,,,,,,,,,,,,,0.9641540050506592,0.9836099147796631,0.6836329102516174,0.8205318450927734,0.7646039724349976,0.9836099147796631,0.6836329102516174,0.8205318450927734,0.7646039724349976,0.9579026699066162,0.9704874157905579
6,2155,40.31858825683594,39.7698860168457,40.29991912841797,40.27293014526367,-6.192690307216253e-07,3.7732362747192383,0.022518713027238846,0.07012022286653519,0.4731481969356537,1.4559670686721802,0.16990385949611664,0.5205590724945068,,,,,,,,,,,,,,
7,2199,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
7,2249,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
7,2299,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
7,2349,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
7,2399,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
